date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
7/29/20,Alabama,1,83782,1538,81572,1489,2210,49
7/29/20,Alaska,2,3440,20,3440,20,0,0
7/29/20,Arizona,4,168293,3466,,,,
7/29/20,Arkansas,5,40968,434,40968,434,0,0
7/29/20,California,6,482578,8789,482578,8789,0,0
7/29/20,Colorado,8,45420,1809,,,,
7/29/20,Connecticut,9,49540,4425,,,,
7/29/20,Delaware,10,14602,581,,,,
7/29/20,District of Columbia,11,11999,584,11999,584,0,0
7/29/20,Florida,12,451415,6332,0,6332,451415,0
7/29/20,Georgia,13,163547,3566,163547,3566,0,0
7/29/20,Guam,66,1320,6,1312,6,8,0
7/29/20,Hawaii,15,1734,25,,,,
7/29/20,Idaho,16,19318,168,18136,110,1182,58
7/29/20,Illinois,17,176772,7659,175530,7465,1242,194
7/29/20,Indiana,18,65918,2932,64299,2733,1619,199
7/29/20,Iowa,19,43283,846,43283,846,0,0
7/29/20,Kansas,20,27130,349,,,,
7/29/20,Kentucky,21,29382,742,,,,
7/29/20,Louisiana,22,112887,3883,112773,3769,114,114
7/29/20,Maine,23,3866,121,3457,121,409,0
7/29/20,Maryland,24,86846,3478,86738,3347,108,131
7/29/20,Massachusetts,25,116182,8551,108740,8331,7442,220
7/29/20,Michigan,26,89026,6426,79988,6174,9038,252
7/29/20,Minnesota,27,52987,1629,52947,1589,40,40
7/29/20,Mississippi,28,55804,1563,55046,1524,758,39
7/29/20,Missouri,29,47519,1268,47477,1268,42,0
7/29/20,Montana,30,3676,54,3676,54,0,0
7/29/20,Nebraska,31,25430,330,25430,330,0,0
7/29/20,Nevada,32,45824,780,45818,780,6,0
7/29/20,New Hampshire,33,6500,409,6500,409,0,0
7/29/20,New Jersey,34,182475,15798,180766,13923,1709,1875
7/29/20,New Mexico,35,19791,626,19791,626,0,0
7/29/20,New York,36,418302,32342,413677,27717,4625,4625
7/29/20,North Carolina,37,118012,1886,118012,1886,0,0
7/29/20,North Dakota,38,6231,106,6227,102,4,4
7/29/20,Northern Mariana Islands,69,40,2,40,2,0,0
7/29/20,Ohio,39,87893,3422,,,,
7/29/20,Oklahoma,40,34605,523,34605,523,0,0
7/29/20,Oregon,41,17805,311,1783,,16022,
7/29/20,Pennsylvania,42,114984,7219,,,,
7/29/20,Puerto Rico,72,16061,211,5700,106,10361,105
7/29/20,Rhode Island,44,18800,1007,18800,1007,0,0
7/29/20,South Carolina,45,85846,1615,85423,1551,423,64
7/29/20,South Dakota,46,8641,129,8641,129,0,0
7/29/20,Tennessee,47,98145,1008,97043,515,1102,493
7/29/20,Texas,48,418880,6763,411160,6763,7720,0
7/29/20,Utah,49,39294,296,24228,177,15066,119
7/29/20,Vermont,50,1406,56,1406,56,0,0
7/29/20,Virginia,51,87993,2125,,,,
7/29/20,Virgin Islands,78,385,8,385,8,0,0
7/29/20,Washington,53,56903,1635,55411,1562,1492,73
7/29/20,West Virginia,54,6326,112,6187,112,139,0
7/29/20,Wisconsin,55,55067,920,51128,913,3939,7
7/29/20,Wyoming,56,2628,26,2172,,456,