Date,Total Overall Tested,Total Number of DC Residents Tested,Total Positives,Number of Deaths,Cleared From Isolation
3/7/20,,,2,,
3/8/20,,,2,,
3/9/20,,,4,,
3/10/20,,,4,,
3/11/20,,,10,,
3/12/20,,,10,,
3/13/20,69,,10,0,
3/14/20,115,,16,0,
3/15/20,120,,17,0,
3/16/20,126,,22,0,
3/17/20,170,,31,0,
3/18/20,203,,39,0,
3/19/20,573,,71,0,
3/20/20,,,77,1,
3/21/20,1055,,98,1,
3/22/20,1229,,116,2,
3/23/20,1334,,137,2,17
3/24/20,1609,,183,2,17
3/25/20,1858,,231,3,21
3/26/20,2166,,267,3,49
3/27/20,2516,,304,4,51
3/28/20,2812,,342,5,66
3/29/20,3085,,401,9,106
3/30/20,3759,,495,9,121
3/31/20,4398,,586,11,142
4/1/20,5070,,653,12,173
4/2/20,5584,,757,15,206
4/3/20,6438,,902,21,235
4/4/20,6834,,998,22,258
4/5/20,7453,,1097,24,287
4/6/20,7823,,1211,22,318
4/7/20,8283,,1440,27,361
4/8/20,8724,,1523,32,393
4/9/20,9355,,1660,38,426
4/10/20,10039,,1778,47,447
4/11/20,10640,,1875,50,493
4/12/20,10934,,1955,52,507
4/13/20,"11,284",,"2,058",67,518
4/14/20,11525,,2197,72,530
4/15/20,12150,,2350,81,552
4/16/20,12646,,2476,86,573
4/17/20,13268,,2666,91,608
4/18/20,13699,,2793,96,622
4/19/20,14113,,2927,105,630
4/20/20,14939,,3098,112,636
4/21/20,15502,,3206,127,645
4/22/20,15930,,3361,139,648
4/23/20,16533,,3528,153,651
4/24/20,17302,,3699,165,652
4/25/20,18068,,3841,178,657
4/26/20,18416,,3892,185,659
4/27/20,18885,,3994,190,660
4/28/20,19229,,4106,205,660
4/29/20,20079,,4323,224,660
4/30/20,21135,,4658,231,666
5/1/20,22004,,4797,240,666
5/2/20,23102,,5016,251,666
5/3/20,23795,,5170,258,666
5/4/20,24329,,5322,264,667
5/5/20,24984,,5461,277,808
5/6/20,25856,,5654,285,825
5/7/20,27115,,5899,304,825
5/8/20,28183,,6102,311,879
5/9/20,29570,,6272,323,880
5/10/20,30261,,6389,328,881
5/11/20,31050,,6485,336,886
5/12/20,31658,,6584,350,934
5/13/20,32999,,6736,358,966
5/14/20,34339,,6871,368,975
5/15/20,35532,,7042,375,998
5/16/20,36526,,7123,383,1023
5/17/20,37825,,7270,392,1028
5/18/20,39374,,7434,400,1040
5/19/20,40419,,7551,407,1059
5/20/20,41756,,7788,412,1061
5/21/20,42993,,7893,418,1069
5/22/20,38928,32735,7966,427,1075
5/23/20,"40,003","33,576",8110,432,1080
5/24/20,40803,34194,8225,440,1080
5/25/20,42055,35262,8334,440,1080
5/26/20,42697,35682,8406,445,1082
5/27/20,43514,36284,8492,453,1082
5/28/20,43858,36511,8538,460,1089
5/29/20,45629,37881,8717,462,1100
5/30/20,46483,38413,8801,466,1116
5/31/20,47263,38975,8857,468,1126
6/1/20,47701,39251,8886,470,1137
6/2/20,49562,40751,9016,473,1138
6/3/20,51096,41571,9120,475,1138
6/4/20,51861,41800,9199,479,1138
6/5/20,53678,43528,9269,483,1138
6/6/20,54547,44485,9332,489,1143
6/7/20,55766,45362,9389,491,1143
6/8/20,57152,46413,9474,495,1143
6/9/20,58192,47148,9537,499,1143
6/10/20,59288,47796,9589,502,1143
6/11/20,61953,48702,9654,506,1143
6/12/20,63036,50032,9709,511,1143
6/13/20,64530,51360,9767,515,1150
6/14/20,65846,52448,9799,515,1150
6/15/20,67126,53458,9818,520,1155
6/16/20,70086,56073,9847,523,1155
6/17/20,72199,57867,9903,527,1155
6/18/20,73791,59072,9952,530,1162
6/19/20,77953,60752,9984,531,1166
6/20/20,79522,62087,10020,533,1172
6/21/20,82004,64071,10058,535,1182
6/22/20,82302,65073,10094,537,1182
6/23/20,84173,65726,10128,541,1182
6/24/20,86731,67594,10159,543,1182
6/25/20,88123,68668,10185,546,1186
6/26/20,89271,69699,10216,548,1194
6/27/20,93132,72783,10248,550,1199
6/28/20,95360,74575,10292,551,1200
6/29/20,97295,76112,10327,551,1270
6/30/20,100035,77908,10365,553,1451
7/1/20,101063,78600,10390,554,1465
7/2/20,102809,79967,10435,555,1497
7/3/20,104554,81330,10447,557,1523
7/4/20,105993,82375,10482,559,1542
7/5/20,107650,83332,10515,561,1553
7/6/20,110377,85157,10569,561,1574
7/7/20,114289,87086,10642,564,1625
7/8/20,115923,88060,10679,568,1662
7/9/20,120884,91143,10743,568,1703
7/10/20,124050,93312,10801,568,1717
7/11/20,126883,94567,10847,568,1737
7/12/20,130220,96163,10906,568,1756
7/13/20,133916,97908,10946,568,1774
7/14/20,137944,100691,11026,571,1809
7/15/20,140242,102058,11076,574,1843
7/16/20,141607,103849,11115,577,1863
7/17/20,144955,105271,11194,578,1877
7/18/20,147765,106925,11261,578,1886
7/19/20,151740,109067,11339,579,1909
7/20/20,155711,111244,11427,580,1932
7/21/20,159572,113858,11529,580,1974
7/22/20,162021,115353,11571,581,2020
7/23/20,165260,115353,11649,581,9582
7/24/20,169009,119013,11717,581,9603
7/25/20,171598,120259,11780,581,9607
7/26/20,174148,121676,11858,582,9639
7/27/20,178022,124027,11945,583,9664
7/28/20,180049,125267,11999,584,9723
7/29/20,182990,126874,12057,584,9777
7/30/20,188741,129554,12126,585,9816
7/31/20,193781,132031,12205,585,9816
8/1/20,197192,133808,12274,586,9870